longitude,latitude,elevation
-123.003682,38.713552,176.1
-123.003674,38.713547,176.2
-123.003661,38.713541,176.4
-123.003644,38.713538,176.7
-123.003631,38.713535,176.9
-123.003615,38.71353,177.1
-123.003602,38.713531,177.2
-123.003586,38.713525,177.5
-123.003574,38.71352,177.6
-123.003558,38.713513,177.8
-123.003545,38.713507,178.0
-123.003532,38.7135,178.2
-123.003522,38.713492,178.4
-123.003515,38.713483,178.5
-123.003505,38.713476,178.7
-123.003491,38.713471,178.8
-123.003484,38.713461,179.0
-123.003477,38.713457,179.1
-123.003471,38.71345,179.2
-123.003466,38.713445,179.3
-123.003464,38.713441,179.3
-123.003469,38.713436,179.4
-123.003476,38.713432,179.5
-123.003486,38.71343,179.6
-123.003494,38.713427,179.7
-123.0035,38.713424,179.7
-123.003511,38.713423,179.8
-123.00352,38.713419,179.9
-123.003534,38.713411,180.1
-123.003548,38.713402,180.2
-123.003564,38.713395,180.3
-123.003578,38.713389,180.5
-123.003593,38.713382,180.6
-123.003609,38.713372,180.7
-123.003624,38.713362,180.8
-123.003637,38.71335,181.0
-123.003647,38.713335,181.1
-123.003658,38.713317,181.3
-123.003672,38.713299,181.5
-123.003681,38.713286,181.6
-123.003688,38.713276,181.7
-123.003693,38.713265,181.8
-123.003697,38.713254,181.9
-123.003703,38.713245,182.0
-123.003709,38.713235,182.1
